customer_state,delivered_orders,on_time_rate,avg_delivery_days,avg_freight_brl
SP,40501,0.9408903483864596,8.761385996084925,17.334633465840348
RJ,12350,0.8652631578947368,15.30943754217274,23.947404048582996
MG,11354,0.9438964241676943,12.008665646060452,23.46396336093007
RS,5345,0.9283442469597755,15.300276192406853,24.803614593077643
PR,4923,0.9500304692260817,11.991582227413277,23.490816575258986
SC,3546,0.9024252679075014,14.954782876767771,24.84930908065426
BA,3256,0.8596437346437347,19.335465824489262,29.96120085995086
DF,2080,0.9293269230769231,12.96756810897436,23.85814423076923
ES,1995,0.8776942355889724,15.789307110368513,24.56866165413534
GO,1957,0.9182422074603985,15.606338535456764,26.25224833929484
PE,1593,0.8920276208411801,18.448322994408407,35.833370998116756
CE,1279,0.8467552775605942,21.26657863492891,36.49678655199374
PA,946,0.8763213530655392,23.77291691136168,39.69659619450317
MT,886,0.9322799097065463,18.05575601172561,32.768397291196386
MA,717,0.803347280334728,21.572976474120562,42.948633193863316
