purchase_month,delivered_orders,on_time_rate,avg_delivery_days,avg_freight_brl
2016-09,1,0.0,54.81319444444444,8.49
2016-10,265,0.9886792452830189,19.600558787561145,23.26622641509434
2016-12,1,1.0,4.693020833333334,8.72
2017-01,750,0.9693333333333334,12.647043518518517,20.912013333333334
2017-02,1653,0.9679370840895342,13.168825248986131,22.39317604355717
2017-03,2546,0.9442262372348782,12.951184487831313,21.654399057344854
2017-04,2303,0.921406860616587,14.91791250040205,21.772783326096395
2017-05,3546,0.9636209813874789,11.322362975369588,21.859320360970106
2017-06,3135,0.9614035087719298,12.01157270438301,21.7311004784689
2017-07,3872,0.965650826446281,11.592732387200606,21.873595041322314
2017-08,4193,0.9668495110899118,11.147124655510508,21.734476508466493
2017-09,4150,0.9479518072289157,11.85100652889335,22.572968674698796
2017-10,4478,0.947074586869138,11.856699698526127,22.972166145600713
2017-11,7289,0.8567704760598162,15.161131699241778,22.719005350528192
2017-12,5513,0.9161980772719027,15.394918530107287,21.230745510611282
2018-01,7069,0.9343612957985571,14.080562613956085,21.678095911727258
2018-02,6555,0.8401220442410374,16.945137568155495,21.316747520976353
2018-03,7003,0.7863772668856205,16.30141017440938,23.88147793802656
2018-04,6798,0.9468961459252722,11.499241053673193,23.43995881141512
2018-05,6749,0.9176174248036746,11.419028935356678,22.407738924285077
2018-06,6099,0.985899327758649,9.239216293167347,25.561637973438266
2018-07,6159,0.9547004383828543,8.958636237154959,25.954508848839097
2018-08,6351,0.8960793575814833,7.732779720458137,23.132577546843017
